Admit ID,Trial Last Internal Rating,Trial Techability Score,Trial Learnability Score,Trial Communicability Score,Practice Head,RFP Tech Ability,RFP Learnability,RFP Communicability,RFP Avg TRACK Score,Consider,TechCategory,Prediction
CIC072022-12481,Meets expectations,1.595,2.0,1.0,Sunil,1.37,1.54,0.7,3.61,Consider ,FullStack,FullStack_DeepTech
CIC062022-12374,Meets expectations,1.5925,1.44,0.94,Sunil,1.435714286,1.665714286,0.8871428571,3.988571429,Consider ,FullStack,FullStack_DeepTech
CIC042022-11876,Improvement needed,1.365,1.32,0.595,Sunil,0.78,0.9588095238,0.5157142857,2.25452381,Consider ,BasicTech,BasicTech
CIC062022-12373,Meets expectations,1.5225,1.395,1.0,Sunil,1.16,1.524285714,0.88,3.564285714,Consider ,BasicTech,FullStack_DeepTech
CIC072022-12509,Improvement needed,1.19,1.225,0.63,Sunil,0.7425,0.9566666667,0.5842857143,2.283452381,Consider ,BasicTech,BasicTech
CIC072022-12462,Meets expectations,1.305,1.465,0.85,Ashish,1.026666667,1.316666667,0.82,3.163333333,Consider ,BasicTech,AdvTech_1_2
CIC072022-12528,Improvement needed,1.085,1.41,0.82,Ashish,1.56875,1.635,0.895,4.09875,Consider ,FullStack,FullStack_DeepTech
CIC072022-12550,Meets expectations,1.305,1.5,0.82,Ashish,1.085,1.44,0.685,3.21,Consider ,BasicTech,AdvTech_1_2
CIC072022-12578,Improvement needed,1.05,1.41,0.82,Ashish,1.369166667,1.526666667,0.82,3.715833333,Consider ,FullStack,FullStack_DeepTech
CIC072022-12576,Meets expectations,1.37,1.585,0.85,Ashish,1.3675,1.46,0.8,3.6275,Consider ,AdvTech-2,FullStack_DeepTech
CIC072022-12579,Improvement needed,1.12,1.41,0.82,Ashish,1.085,1.33,0.82,3.235,Consider ,BasicTech,AdvTech_1_2
CIC072022-12603,Meets expectations,1.335,1.56,0.85,Ashish,1.3135,1.462,0.806,3.5815,Consider ,FullStack,AdvTech_1_2
CIC072022-12503,Meets expectations,1.345,1.255,0.725,Gunjan,1.29,1.325,0.76,3.375,Consider ,BasicTech,AdvTech_1_2
CIC072022-12563,Meets expectations,1.33,1.4,0.7,Gunjan,1.349,1.329,0.735,3.413,Consider ,AdvTech-2,AdvTech_1_2
CIC072022-12561,Meets expectations,1.63,1.82,0.94,Gunjan,1.19,1.19,0.725,3.105,Consider ,BasicTech,BasicTech
